Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NM_019795	chr11	100582836	100620168	-	2296	1	Dnajc7|2010003F24Rik|2010004G07Rik|CCRP|Ttc2|mDj11|mTpr2|-|11 D|11 63.47 cM|protein-coding	140.007	137.636	134.794	132.032
NM_145367	chr13	38500271	38528484	-	2633	1	Txndc5|AL022641|ERp46|PC-TRP|-|13|13 A3.3|protein-coding	139.941	148.751	147.606	144.502
NM_001293683	chr10	72654846	72674964	+	1823	1	Zwint|2010007E07Rik|2600001N01Rik|D10Ertd749e|Zwint-1|-|10 B5.3|10 37.15 cM|protein-coding	139.663	145.161	137.348	147.693
NM_026395	chr4	155074112	155086297	-	1509	1	Rer1|1110060F11Rik|5830454N22Rik|AU043380|-|4|4 E2|protein-coding	139.19	138.004	140.355	141.85
NM_001161854	chr3	103020546	103058186	+	4084	1	Csde1|AA960392|BC016898|D3Jfr1|mKIAA0885|unr|-|3 F2.2|3 45.25 cM|protein-coding	139.082	136.722	138.727	138.851
NM_021505	chr5	122787461	122821342	-	2742	1	Anapc5|2510006G12Rik|AA408751|AA536819|AA986414|APC5|Anpc5|-|5|5 F|protein-coding	138.94	140.912	129.991	131.809
NM_138748	chr2	30416050	30447807	+	2565	1	Ptpa|2610042B21Rik|C77440|N28142|PR53|Ppp2r4|-|2 B|2 21.71 cM|protein-coding	138.887	141.12	153.296	147.295
NM_011508	chr11	100319949	100322099	+	1255	1	Eif1|Sui1-rs1|-|11|11 D|protein-coding	138.494	134.772	122.999	131.491
NM_001290421	chrX	74223461	74246534	-	8320	1	Flna|ABP-280|Dilp2|F730004A14Rik|Fln1|GENA 379|filamin-1|-|X A7.3|X 37.89 cM|protein-coding	138.39	141.378	113.986	114.628
NM_001111080	chr17	56304313	56323486	+	3383	1	Uhrf1|AL022808|ICBP90|Np95|RNF106|-|17|17 D|protein-coding	138.154	144.042	146.23	143.481
NM_001290810	chr4	139347440	139352576	-	1206	1	Mrto4|2610012O22Rik|Mg684|Mrt4|-|4|4 D3|protein-coding	138.042	149.243	125.603	127.889
NM_013897	chr9	50603901	50605320	+	523	1	Timm8b|Tim8b|-|9|9 A5.3|protein-coding	137.991	153.65	156.581	164.996
NM_152824	chr2	11585439	11603199	-	1520	1	Rbm17|2700027J02Rik|-|2|2 A1|protein-coding	137.899	143.673	133.541	133.266
NM_025310	chr11	106249144	106255802	-	2842	1	Ftsj3|AA537063|AU045295|C79843|D11Ertd400e|Epcs3|-|11 E1|11 68.89 cM|protein-coding	137.794	134.095	132.902	126.679
NM_025281	chr5	38220482	38234306	+	1540	1	Lyar|MLZ-264|-|5 B3|5 20.29 cM|protein-coding	137.789	143.382	133.879	133.172
NM_008408	chr9	36732413	36767578	-	2677	1	Stt3a|AA408947|BB081708|Itm1|-|9 A4|9 20.67 cM|protein-coding	137.695	136.975	126.223	126.009
NM_026310	chr17	12911355	12916091	-	953	1	Mrpl18|1010001C05Rik|C79879|HSPC071|MRP-L18|-|17|17 A1|protein-coding	137.578	151.87	139.817	148.024
NM_145979	chr6	125096163	125130501	+	6384	1	Chd4|9530019N15Rik|AA617397|BC005710|D6Ertd380e|Mi-2beta|mKIAA4075|-|6 F2|6 59.28 cM|protein-coding	137.503	138.665	141.152	137.475
NM_172505	chr1	88264828	88277557	-	2210	1	A730008H23Rik|mFleg1|-|-|protein-coding	137.323	132.529	151.383	141.607
NM_001304269	chr5	34336380	34353445	+	2894	1	Rnf4|AU018689|Gtrgeo8|SNURF|-|5|5 B2|protein-coding	137.206	136.914	133.978	132.486
NM_008906	chr2	164833773	164841032	+	3284	1	Ctsa|AU019505|PPCA|Ppgb|-|2 H3|2 85.27 cM|protein-coding	136.934	131.737	139.118	138.209
NM_008996	chr11	20201602	20226856	+	2649	1	Rab1a|Gtbp|Rab-1|Rab1|Ypt1|mKIAA3012|-|11 A3.1|11 12.92 cM|protein-coding	136.491	134.274	138.742	135.168
NM_133705	chr1	180904274	180908088	+	1590	1	Pycr2|1810018M05Rik|P5cr2|-|1|1 H4|protein-coding	136.44	147.491	136.071	133.037
NM_025939	chr5	76951411	76967505	+	2367	1	Paics|2610511I09Rik|ADE2H1|AIRC|PAIS|-|5|5 C3.3|protein-coding	136.414	138.814	125.68	119.964
NM_021523	chrX	151803282	151935417	+	14539	1	Huwe1|5430439H10Rik|AU041296|Arf-bp1|C430014N20Rik|C80292|Gm1718|Ib772|LASU1|Mule|Ureb1|-|X|X F3|protein-coding	136.298	130.737	140.344	135.644
NM_026845	chr17	29250835	29263971	-	1209	1	Ppil1|1110060O10Rik|AI327391|Cypl1|-|17|17 A3.3|protein-coding	136.034	149.817	156.08	158.857
NM_009009	chr15	51962604	51991760	-	3589	1	Rad21|SCC1|mKIAA0078|-|15|15 C|protein-coding	135.952	133.984	135.466	137.119
NM_026948	chr17	26937972	26939538	-	650	1	Cuta|0610039D01Rik|1810022E02Rik|1810060C03Rik|2700094G22Rik|AI326454|-|17|17 A3.3|protein-coding	135.801	143.832	136.506	133.189
NM_007422	chr1	177763178	177796509	-	2538	1	Adss|AI314886|AS|Adss2|-|1|1 H4|protein-coding	135.777	138.403	132.717	133.518
NM_011480	chr11	60199084	60220627	-	4306	1	Srebf1|ADD1|SREBP-1a|SREBP1|SREBP1c|bHLHd1|-|11|11 B2|protein-coding	135.717	123.707	145.265	147.536
NM_001243064	chr6	17307640	17341328	+	2618	1	Cav1|Cav|Cav-1|-|6|6 A2|protein-coding	135.691	135.755	89.953	95.299
NM_008344	chr15	102144186	102149512	+	1283	1	Igfbp6|IGFBP-6|-|15|15 F2|protein-coding	135.584	136.949	96.749	98.049
NR_036654	chr3	84174638	84175193	+	555	1	Gm6525|EG624713|-|3|3 F1|pseudo	135.474	142.734	133.866	141.095
NM_001302469	chr4	155993153	156002699	+	983	1	Sdf4|Cab45|-|4|4 E2|protein-coding	135.281	138.378	149.46	146.356
NM_019719	chr17	25830636	25833361	-	1663	1	Stub1|0610033N24Rik|2210017D18Rik|2310040B03Rik|AW046544|Chip|-|17 A3.3|17 12.93 cM|protein-coding	135.032	141.189	134.027	130.314
NM_011873	chr15	100615662	100620761	+	1816	1	Dazap2|AI314727|Brbp|Gcap28|Prtb|gt6-12|mKIAA0058|-|15 F1|15 56.36 cM|protein-coding	134.897	132.202	128.089	125.352
NM_009127	chr19	44394450	44407709	-	4829	1	Scd1|AA589638|AI265570|Scd|Scd-1|ab|-|19 C3|19 37.98 cM|protein-coding	134.683	113.649	140.733	134.719
NM_172757	chr8	88137885	88171943	+	3120	1	Heatr3|C030036P15Rik|-|8|8 C3|protein-coding	134.64	131.068	138.444	139.772
NM_016905	chr11	116008357	116012719	-	1496	1	Galk1|AA409894|GALK|Gk|Glk|Glk1|-|11 E2|11 80.91 cM|protein-coding	134.634	154.66	158.941	158.346
NM_024171	chr4	47474661	47483233	+	546	1	Sec61b|1190006C12Rik|AI326121|AW122942|-|4|4 B1|protein-coding	134.285	138.812	120.489	128.027
NM_146211	chr8	71611024	71624911	+	3167	1	Colgalt1|2810024B22Rik|Glt25d1|-|8|8 B3.3|protein-coding	134.231	131.241	131.257	132.434
NM_009859	chr9	25252439	25308571	+	2513	1	Sept7|Cdc10|E430034N22|-|9|9 A4|protein-coding	134.21	125.524	118.56	126.596
NM_015765	chr2	3488854	3512814	-	1775	1	Hspa14|70kDa|HSP70L1|Hsp70-4|NST-1|hsr.1|-|2|2 A1|protein-coding	134.206	131.395	125.398	125.327
NM_001281472	chr11	48945352	48946410	-	1056	1	Psme2b|PA28b-p|PA28b2|Psme2-like|Psme2b-ps|-|11|11 B1.2|protein-coding	134.098	129.623	146.034	141.28
NM_001190804	chr16	22857845	22872465	+	1992	1	Dnajb11|1810031F23Rik|ABBP-2|AL024055|Dj9|ERdj3|ERj3p|-|16|16 B1|protein-coding	133.587	131.054	116.543	123.278
NM_001199114	chr17	45585200	45595902	-	1918	1	Slc29a1|1200014D21Rik|AA407560|ENT1|-|17|17 B3|protein-coding	133.495	138.79	135.14	121.607
NM_024227	chr17	26123503	26126613	+	1058	1	Mrpl28|1110015G04Rik|L28mt|MAAT1|MRP-L28|p15|-|17|17 A3.3|protein-coding	133.301	136.663	139.44	135.716
NM_026618	chr11	101277970	101278948	-	714	1	Coa3|1810033A19Rik|Ccdc56|D11Ertd99e|HSPC009|-|11 D|11 64.56 cM|protein-coding	133.092	153.529	138.102	137.731
NM_012010	chrX	94188709	94212651	-	3573	1	Eif2s3x|AA409828|AA547477|AI314668|Eif-2gx|-|X C3|X 41.52 cM|protein-coding	133.061	133.626	133.861	133.617
NM_011967	chr3	108256926	108279952	+	1206	1	Psma5|ZETA|-|3|3 F2.3|protein-coding	133.035	132.555	139.461	131.606
NM_026653	chr11	75300259	75348383	-	3024	1	Rpa1|5031405K23Rik|70kDa|AA589576|AW557552|RF-A|RP-A|Rpa|-|11 B5|11 45.79 cM|protein-coding	133.019	131.642	131.183	129.802
NM_001163316	chr5	139253497	139270050	+	1904	1	Get4|1110007L15Rik|AW412535|Cee|-|5|5 G2|protein-coding	132.966	130.514	139.724	134.273
NM_026456	chr1	16642765	16656865	-	949	1	Eloc|2610043E24Rik|2610301I15Rik|AA407206|AI987979|AW049146|Tceb1|-|1|1 A3|protein-coding	132.705	134.311	125.677	129.605
NM_001040187	chr15	79527696	79546741	-	4751	1	Ddx17|2610007K22Rik|A430025E01Rik|AI047725|C80929|Gm926|p72|-|15|15 E1|protein-coding	132.567	138.678	135.944	134.218
NM_133188	chr10	80264991	80288413	+	2065	1	Dazap1|2410042M16Rik|mPrrp|-|10|10 C1|protein-coding	132.485	139.831	140.088	142.935
NM_001146309	chr11	5788483	5800980	+	2342	1	Dbnl|Abp1|SH3P7|mAbp1|-|11 A1|11 3.87 cM|protein-coding	132.407	132.007	139.153	148.819
NM_026560	chr4	124918465	124936917	-	1614	1	Cdca8|4831429J16Rik|AU044747|BOR|Borealin|D4Ertd421e|DasraB|MESRGP|-|4 D2.2|4 57.93 cM|protein-coding	132.362	134.421	126.423	125.418
NM_144526	chr11	72042502	72047370	+	1458	1	Fam64a|2610008F03Rik|6720460F02Rik|AI115087|CATS|-|11|11 B4|protein-coding	132.128	134.706	120.671	124.329
NM_033074	chr15	11383663	11399658	-	2615	1	Tars|D15Wsu59e|ThrRS|-|15 A1|15 5.6 cM|protein-coding	131.944	127.287	128.054	125.14
NM_024456	chr11	100715003	100738215	-	1913	1	Rab5c|AI326010|Rabl|-|11 D|11 63.54 cM|protein-coding	131.89	143.927	145.738	150.85
NM_008062	chrX	74409486	74429161	-	2601	1	G6pdx|G28A|G6pd|Gpdx|-|X A7.3|X 38.0 cM|protein-coding	131.825	125.996	93.87	91.182
NM_001163791	chr8	85299632	85308279	+	1516	1	Orc6|6720420I10Rik|Orc6l|-|8|8 C3|protein-coding	131.815	137.367	125.475	127.242
NM_013854	chr17	35956819	35969750	-	3125	1	Abcf1|AU041969|Abc50|D17Wsu166e|GCN20|-|17 B1|17 18.8 cM|protein-coding	131.618	130.904	130.104	124.979
NM_019821	chr5	114669500	114690935	-	1604	1	Gltp|1110001F24Rik|C76925|C77564|-|5|5 F|protein-coding	131.574	132.5	131.947	127.248
NM_001101561	chr10	20208439	20209030	+	589	1	Rpl32l|EG621697|Gm6251|-|10|10 A3|protein-coding	131.559	155.577	133.103	129.621
NM_001290697	chr11	40733661	40740046	+	1502	1	Nudcd2|-|-|11 A5|11 24.41 cM|protein-coding	131.512	138.077	133.523	139.993
NM_178246	chr3	88336260	88362337	+	4423	1	Smg5|BC024683|mKIAA1089|-|3|3 F1|protein-coding	131.477	144.509	141.697	142.271
NM_025387	chr13	41016250	41022582	+	944	1	Tmem14c|1110021D01Rik|AU020193|HSPC194|-|13|13 A3.3|protein-coding	131.428	130.638	128.435	136.673
NM_024236	chr5	45434032	45450229	-	1385	1	Qdpr|2610008L04Rik|D5Ertd371e|Dhpr|PKU2|-|5 B3|5 24.9 cM|protein-coding	131.411	133.046	126.593	123.903
NM_175639	chr17	71616215	71659031	+	3430	1	Wdr43|2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007|-|17|17 E1.3|protein-coding	131.273	132.871	127.039	125.301
NM_001110101	chr17	34981854	34985893	+	861	1	Lsm2|D17H6S56E-2|D17H6S56E2|Dmapl|Dmpkap|G7b|Sm-X5|SmX5|snRNP|-|17 B1|17 18.52 cM|protein-coding	131.241	138.921	141.169	129.673
NM_027106	chr19	42123275	42128993	-	971	1	Avpi1|2310008N12Rik|AA410041|VIT32|esu|mVIT32|-|19|19 C3|protein-coding	130.734	143.616	111.72	117.147
NR_002885	chr15	103240432	103244584	+	1378	1	Gm10052|ENSMUSG00000058922|XM_001481145|-|9 F4|9|pseudo	130.723	133.515	125.803	125.955
NM_134024	chr11	101120131	101126419	+	1596	1	Tubg1|1500010O08Rik|AI451582|AI503389|Tubg|-|11 D|11 64.24 cM|protein-coding	130.702	128.246	135.845	129.29
NM_011293	chr5	136116691	136122947	+	580	1	Polr2j|14.5kDa|Polr2i|Rpb11a|Rpo2-4|-|5|5 G2|protein-coding	130.626	142.488	124.952	126.319
NM_016804	chr2	74825812	74876748	+	1246	1	Mtx2|1500012G02Rik|-|2|2 C3|protein-coding	130.495	123.26	118.157	116.813
NM_011842	chr19	8941920	8952300	+	3067	1	Mta2|AW550797|Mata1l1|Mta1l1|mmta2|-|19|19 A|protein-coding	130.404	129.982	131.127	134.057
NM_013535	chr6	124739184	124741079	-	562	1	Grcc10|2310033H05Rik|C10|-|6 F2|6 59.17 cM|protein-coding	130.206	142.48	147.608	156.039
NM_175112	chr2	173000117	173015739	+	1728	1	Rae1|3230401I12Rik|D2Ertd342e|MNRP|MNRP41|-|2 H3|2 95.66 cM|protein-coding	130.202	119.688	119.841	123.061
NM_001205386	chr1	125392905	125435727	-	2536	1	Actr3|1200003A09Rik|Arp3|-|1|1 E2.3|protein-coding	130.158	122.641	136.297	134.01
NM_029083	chr10	59949675	59951770	-	1680	1	Ddit4|5830413E08Rik|AA415483|REDD1|Rtp801|dig2|-|10|10 B4|protein-coding	130.157	133.558	216.957	235.895
NM_007988	chr11	120805958	120824547	-	9893	1	Fasn|A630082H08Rik|FAS|-|11 E2|11 84.56 cM|protein-coding	130.133	129.172	132.214	133.487
NM_030225	chr12	85110833	85134091	+	2750	1	Dlst|1600017E01Rik|4632413C10Rik|4930529O08Rik|DLTS|-|12|12 D1|protein-coding	130.067	124.723	132.099	126.077
NM_001331168	chr6	72359712	72362432	-	1226	1	Rnf181|1700047F16Rik|2500002L14Rik|6230415N01Rik|C77350|-|6|6 C1|protein-coding	129.927	132.954	136.814	133.573
NM_001165987	chr3	90005994	90052475	-	3625	1	Ubap2l|3110083O19Rik|4932431F02Rik|A430103N23Rik|C77168|Nice-4|mKIAA0144|-|3 F1|3|protein-coding	129.923	133.205	139.737	131.739
NM_146119	chr2	32876134	32925253	+	3677	1	Fam129b|9130404D14Rik|-|2|2 B|protein-coding	129.727	131.981	116.935	120.008
NM_011750	chr19	6363690	6378038	+	3708	1	Sf1|BBP|MZFM|WBP4|Zfp162|-|19|19 A|protein-coding	129.612	129.184	135.011	126.032
NM_001301034	chr10	80826656	80829290	+	1062	1	Oaz1|AZ-1|AZ1|Antizyme|ODC-Az|Oaz|-|10 C1|10 39.72 cM|protein-coding	129.55	137.761	149.215	148.396
NM_027257	chr10	128401395	128409796	-	1043	1	Nabp2|2610036N15Rik|Obfc2b|SSB1|-|10|10 D3|protein-coding	129.428	124.396	121.488	127.998
NM_008640	chr12	8921307	8938741	+	2120	1	Laptm4a|AA286466|LAPTM4|MTP|Mtrp|mKIAA0108|-|12|12 A1.1|protein-coding	129.387	130.278	141.47	141.738
NM_134139	chr19	8735839	8740624	+	1191	1	Wdr74|5730436H21Rik|AA407588|-|19|19 A|protein-coding	129.158	133.146	133.946	129.97
NM_008706	chr8	107388225	107403205	-	1544	1	Nqo1|AV001255|Dia4|Dtd|Nmo-1|Nmo1|Nmor1|Ox-1|Ox1|Qr1|-|8 D3|8 54.08 cM|protein-coding	129.145	119.992	165.021	167.305
NM_025315	chr6	146642579	146650600	+	774	1	Med21|0610007L03Rik|AI449604|D19234|D6Ertd782e|Srb7|Surb7|-|6 G3|6 77.7 cM|protein-coding	129.09	125.584	118.563	131.579
NM_033521	chr15	34238026	34284295	+	1888	1	Laptm4b|C330023P13Rik|LAPTM4beta|-|15|15 B3.1|protein-coding	129.067	114.837	79.186	83.176
NM_001171739	chr4	40936398	40948294	-	1340	1	Bag1|BAG-1|Rap46|-|4|4 A5|protein-coding	129.065	135.81	119.052	121.477
NM_025443	chr11	17203200	17211589	-	1554	1	Pno1|1810003N24Rik|AA407421|AU015468|AU019495|AU042323|Emi3|Imi3|-|11|11 A2|protein-coding	128.777	135.386	128.175	129.268
NM_001290527	chr4	83461879	83486448	-	1867	1	Psip1|AA408851|AU015605|Dfs70|Ledgfa|Ledgfb|Psip2|-|4|4 C3|protein-coding	128.748	114.829	114.337	115.175
NM_026373	chr19	4097351	4099017	+	905	1	Cdk2ap2|5830466O21Rik|D19Ertd144e|Doc-1r|-|19|19 A|protein-coding	128.672	119.234	91.999	93.184
NM_026767	chr3	89266461	89267079	+	493	1	Dpm3|1110001H19Rik|AV117483|-|3|3 F1|protein-coding	128.6	146.208	172.89	155.714
NM_011952	chr7	126759626	126765816	+	1761	1	Mapk3|Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk|-|7 F3|7 69.25 cM|protein-coding	128.579	118.256	113.626	116.062
NM_019752	chr6	83051267	83054571	-	1714	1	Htra2|AI481710|Omi|Prss25|mnd2|-|6 C3|6 35.94 cM|protein-coding	128.498	134.406	137.396	135.754
NR_027656	chr10	80826696	80829217	+	957	1	Oaz1-ps|ENSMUSG00000043801|Gm1823|Gm9786|Oaz-ps|-|17 A3.1|17|pseudo	128.441	136.917	149.234	149.308
NM_146087	chr18	61555582	61588299	+	2001	1	Csnk1a1|2610208K14Rik|4632404G05Rik|5430427P18Rik|CK1a|Csnk1a|-|18|18 E1|protein-coding	128.317	124.544	127.029	123.984
NM_025648	chr8	84856986	84869257	+	1814	1	Farsa|0610012A19Rik|Farsla|-|8|8 C2-C3|protein-coding	128.309	135.259	141.966	148.581
NM_146243	chr11	20062304	20112951	-	3658	1	Actr2|4921510D23Rik|AA409782|Arp2|D6Ertd746e|-|11 A3.1|11 12.88 cM|protein-coding	127.964	127.243	121.572	124.576
NM_026425	chr2	145903241	145916425	+	1164	1	Naa20|1500004D14Rik|2900026I01Rik|AU041458|D2Ertd186e|Nat5|-|2 G1|2 71.28 cM|protein-coding	127.954	128.387	136.401	134.429
NM_134040	chr12	13219307	13249174	-	2441	1	Ddx1|AA409185|DBP-RB|-|12|12 A1.1|protein-coding	127.803	128.408	126.041	123.787
NM_025289	chr9	37649182	37657312	-	1554	1	Tbrg1|AA408552|AA409675|Niam|Tb-5|mFLJ00213|-|9|9 A4|protein-coding	127.759	118.761	136.29	129.99
NM_026614	chr6	24518666	24527687	-	542	1	Ndufa5|2900002J19Rik|-|6|6 A3.1|protein-coding	127.583	117.452	129.227	150.166
NR_003513	chr19	5842296	5845480	-	3184	1	Neat1|2310043N10Rik|VINC|-|19|19 A|ncRNA	127.554	138.43	148.545	130.583
NM_026318	chr2	121457088	121458440	+	598	1	Hypk|2310003F16Rik|HSPC136|-|2|2 E5|protein-coding	127.416	119.104	121.445	133.292
NM_009357	chr6	83770414	83775812	-	1446	1	Tex261|3110001O07Rik|AA409339|AI480706|AL033351|TEG-261|-|6 C3|6 35.94 cM|protein-coding	127.359	117.563	124.72	134.467
NM_024461	chr3	122924397	122926194	+	972	1	1810037I17Rik|5730414I01Rik|-|3|3 G1|protein-coding	127.346	117.77	121.14	132.015
NM_133900	chr5	129765558	129787253	-	1527	1	Psph|AI480570|PSP|PSPase|-|5|5 G1.3|protein-coding	127.288	121.141	141.486	137.15
NM_153057	chr7	46033696	46084212	+	4226	1	Nomo1|D7Ertd156e|Nomo|pM5|-|7 B3|7 29.66 cM|protein-coding	127.196	128.244	130.254	130.075
NM_026323	chr2	164562716	164568506	+	702	1	Wfdc2|1600023A02Rik|HE4|WAP5|-|2|2 H3|protein-coding	127.175	133.991	95.012	88.801
NM_207161	chr17	46496789	46499618	+	1100	1	Dnph1|C76683|Rcl|-|17|17 C|protein-coding	127.165	129.239	126.243	121.238
NM_010715	chr7	13278826	13311427	+	3062	1	Lig1|AL033288|LigI|-|7 A1|7 7.82 cM|protein-coding	127.096	126.465	131.391	122.884
NM_194052	chr11	29692898	29744414	+	3738	1	Rtn4|1110020G17Rik|AA407876|AA409940|AA960376|ASY|C130026I10Rik|NOGO|NSP-CL|NgA|Nogo-A|Nogo-B|Nogo-C|mKIAA0886|mKIAA4153|-|11|11 A3.3|protein-coding	127.072	132.538	123.928	125.208
NM_026506	chr6	86371540	86378902	+	387	1	Snrpg|2810024K17Rik|AL022803|SMG|sm-G|snRNP-G|-|6|6 D1|protein-coding	127.047	122.08	132.304	132.484
NM_001130457	chr11	6615598	6626067	-	2333	1	Tbrg4|2310042P22Rik|AA120735|AA408001|AI527316|Cpr2|R74877|Tb-12|mKIAA0948|-|11|11 A1|protein-coding	127.002	133.495	123.409	124.954
NM_009318	chr17	33919478	33929290	+	2737	1	Tapbp|D17Wsu91e|TPN|-|17 B1|17 17.98 cM|protein-coding	126.903	113.061	148.714	150.169
NM_177613	chr10	79682195	79688398	+	1259	1	Cdc34|AI327276|UBE2R1|-|10 C1|10 39.72 cM|protein-coding	126.749	147.382	140.831	145.204
NM_025922	chr2	130667841	130681614	+	1149	1	Itpa|2010016I08Rik|AU020102|Itp|-|2 F1|2 63.24 cM|protein-coding	126.747	127.33	133.289	149.717
NM_153168	chr9	123366940	123462664	+	3858	1	Lars2|AI035546|Kiaa0028|LEURS|-|9 F4|9 73.92 cM|protein-coding	126.659	116.836	131.731	122.766
NM_133780	chr1	150392838	150449935	+	7496	1	Tpr|2610029M07Rik|C77892|-|1|1 G1|protein-coding	126.656	117.314	120.497	118.314
NM_021395	chr9	44379490	44392369	+	4404	1	Hyou1|AI415631|CBP-140|Cab140|Grp170|Orp150|-|9|9 A5.2|protein-coding	126.593	124.681	108.292	105.51
NR_104427	chr15	103240397	103246698	+	1313	1	Hnrnpa1|HDP-1|Hdp|Hnrpa1|hnRNP A1|hnrnp-A1|-|15 F3|15 58.58 cM|protein-coding	126.573	126.645	123.815	121.095
NM_026885	chr7	13032006	13034777	-	919	1	Chmp2a|1500016L11Rik|-|7 A1|7|protein-coding	126.556	125.494	131.268	127.434
NM_009938	chr1	172082529	172122332	+	4594	1	Copa|AU040324|xenin|-|1 H3|1 79.54 cM|protein-coding	126.552	121.202	126.335	123.101
NM_019772	chr7	116093380	116105210	+	1393	1	1110004F10Rik|Smacp|Smap|sid2057|sid2057p|-|7|7 F1|protein-coding	126.425	119.986	133.282	131.638
NM_001111050	chr7	141468789	141471481	+	1652	1	Cd151|PETA-3|SFA-1|Tspan24|-|7 F5|7 86.82 cM|protein-coding	126.359	123.034	124.342	120.582
NM_133749	chr2	112455025	112467436	+	1065	1	Emc7|2900064A13Rik|AI451465|ORF3|c11orf3|-|2|2 E3|protein-coding	126.35	117.269	133.673	133.114
NM_172015	chr13	49682130	49734267	+	4360	1	Iars|2510016L12Rik|AI327140|AU044614|E430001P04Rik|ILRS|-|13|13 A5|protein-coding	126.156	119.981	118.097	116.342
NM_023665	chr4	134923625	134927370	+	1408	1	Rsrp1|2700043I21Rik|D4Ucla2|D4Wsu53e|-|4 D3|4 67.15 cM|protein-coding	125.895	136.753	133.805	128.943
NM_001167669	chr11	70663769	70669416	-	1122	1	Spag7|5730443G10|ACRP|FSA-1|Fsa1l|-|11 B3|11 43.21 cM|protein-coding	125.825	127.086	115.507	113.867
NM_019674	chr7	126785868	126792471	-	1321	1	Ppp4c|1110002D08Rik|AU016079|Ppx|-|7|7 F3|protein-coding	125.48	137.331	133.416	128.527
NM_009321	chr13	94788943	94842899	+	497	1	Tbca|Tbca13|-|13|13 D1|protein-coding	125.251	123.205	132.674	149.105
NM_027098	chr1	37890553	37898333	+	683	1	Mrpl30|2310001L22Rik|MRP-L28|Rpml28|-|1|1 B|protein-coding	125.241	111.805	120.568	119.986
NM_010261	chr7	24969750	24972728	-	868	1	Rabac1|2310040I06Rik|Gbpap1|PRA1|prenylin|-|7|7 A3|protein-coding	125.213	130.072	127.953	136.858
NM_001001493	chr8	85080963	85082339	+	693	1	Wdr83os|-|-|8|8 C3|protein-coding	125.093	114.105	123.213	124.116
NM_078479	chr3	95862652	95870619	-	403	1	Mrps21|1810031B19Rik|-|3|3 F2.1|protein-coding	124.857	140.963	126.674	126.877
NM_152234	chr13	58176156	58215653	-	3590	1	Ubqln1|1110046H03Rik|1810030E05Rik|AU019746|C77538|D13Ertd372e|Da41|Dsk2|Plic-1|Plic1|Xdrp1|-|13 B1|13 30.95 cM|protein-coding	124.662	119.713	129.08	126.35
NM_018730	chr17	56613395	56614246	+	401	1	Rpl36|-|-|17|17 D|protein-coding	124.404	135.615	144.356	126.811
NM_026611	chr17	8128591	8147832	+	1002	2	Rnaset2b|0610007O07Rik|4833423A10Rik|4930532K22Rik|C79750|RNASE6PL|Rnaset2|-|17|17 A1|protein-coding	124.251	119.23	126.763	127.503
NM_026533	chr7	116331507	116334190	-	574	1	Rps13|2700063M04Rik|-|7|7 F1|protein-coding	124.228	118.862	117.259	111.044
NM_026519	chr2	112363019	112368027	-	968	1	Emc4|2610318K02Rik|Tmem85|-|2|2 E3|protein-coding	124.011	111.179	124.78	117.799
NM_016795	chr17	28589592	28622454	-	2436	1	Srpk1|AU017960|-|17|17 A3.3|protein-coding	123.816	121.288	123.867	120.591
NM_026170	chr17	26561512	26656933	+	2721	1	Ergic1|1200007D18Rik|maa-136|-|17|17 A3.3|protein-coding	123.792	120.073	113.461	112.182
NM_026545	chr7	29174187	29180673	-	1504	1	Psmd8|6720456J22Rik|AA407360|AL033291|AL033322|AL033323|C76433|-|7|7 B1|protein-coding	123.786	120.811	126.779	122.575
NM_029272	chr10	80249452	80256792	+	748	1	Ndufs7|1010001M04Rik|-|10 C1|10 39.72 cM|protein-coding	123.775	138.536	148.886	150.199
NM_009818	chr18	35118912	35254775	+	3656	1	Ctnna1|2010010M04Rik|AA517462|AI988031|Catna1|-|18 B1|18 18.89 cM|protein-coding	123.67	115.952	106.844	103.877
NM_009227	chr1	133603871	133610280	-	485	1	Snrpe|AL022645|C76690|SME|-|1|1 E4|protein-coding	123.607	135.965	129.692	130.265
NM_022889	chr11	3963975	3980004	+	2894	1	Pes1|-|-|11|11 A1|protein-coding	123.446	127.444	127.049	123.047
NM_028108	chr16	44139809	44163364	+	4519	1	Naa50|2600005K24Rik|2810441M03Rik|AW112078|Mak3|Mak3p|Nat13|Nat5|San|-|16|16 B4|protein-coding	123.435	123.214	120.464	119.564
NM_001040435	chr5	33658128	33672202	+	2632	1	Tacc3|Aint|C86661|Eric1|-|5|5 B2|protein-coding	123.335	118.113	116.086	113.048
NM_133801	chr17	57003402	57011288	-	1705	1	Gtf2f1|2810405L04Rik|C76800|RAP74|-|17|17 D|protein-coding	123.274	120.298	134.468	126.693
