Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d sgNT_rep1_S65/ sgNT_rep2_S66/ sgArid1a_rep1_S67/ sgArid1a_rep2_S68) (cmd=getDiffExpression.pl sgArid1a_nostim_raw.txt -edgeR -simpleNorm -dispersion 0.05 sgNT sgNT sgARID1A sgARID1A -export diff -log2fold .585)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_rep1_S65/ (28413949.0 total)	sgNT_rep2_S66/ (31159073.0 total)	sgArid1a_rep1_S67/ (29840911.0 total)	sgArid1a_rep2_S68 (27904258.0 total)	sgARID1A vs. sgNT Log2 Fold Change	sgARID1A vs. sgNT p-value	sgARID1A vs. sgNT adj. p-value
NM_001177513	chr19	61174686	61176309	-	1621.0	1	Gm7102|EG633057|-|19|19 D3|protein-coding	31.18	34.74	15.68	29.40	-0.551632329205844	0.0750544696292576	0.708039800574046
NM_028757	chr2	17346734	17731068	-	2971.0	1	Nebl|1200007O21Rik|A630080F05Rik|BB140644|D830029A09Rik|Lnebl|-|2|2 A3|protein-coding	43.65	32.86	42.15	31.50	-0.0289455345133567	0.939834584264807	1
NM_153542	chr10	61475833	61582228	+	2614.0	1	Lrrc20|BC036304|-|10|10 B4|protein-coding	383.50	368.95	335.22	383.24	-0.0570537220712248	0.55331179946341	1
NM_001195006	chr8	95703037	95715119	+	2949.0	1	Ndrg4|D8Bwg1337e|Ndr1-rs|Ndr4|R74996|SMAP-8|-|8|8 D1|protein-coding	267.10	252.54	265.63	260.39	0.0304046595635974	0.790731248803999	1
NM_001033277	chr15	102116528	102136215	-	2424.0	1	Spryd3|BC008150|-|15|15 F2|protein-coding	1034.09	1010.16	1115.45	1093.02	0.12313826304984	0.0417189227714128	0.553328220563328
NM_017383	chr6	104493044	104863405	+	3554.0	1	Cntn6|NB-3|-|6|6 E1|protein-coding	7.28	3.76	10.78	10.50	0.96587922189459	0.123416009212479	0.886684140646666
NM_175497	chr13	111255013	111257749	+	2734.0	1	Actbl2|4732495G21Rik|-|13|13 D2.2|protein-coding	0.00	0.00	0.98	0.00	2.34197687830997	0.999999999999998	1
NM_013821	chr3	98805504	98814443	-	1796.0	1	Hsd3b6|D19210|-|3|3 F2.2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_011099	chr9	59656368	59679375	+	2419.0	1	Pkm|AA414905|AL024370|AL024424|Pk-2|Pk-3|Pk3|Pkm2|-|9 B|9 32.03 cM|protein-coding	52694.11	53464.41	55332.17	52956.24	0.0396415312591993	0.325807891267841	1
NR_030415	chr16	17124400	17124496	-	96.0	1	Mir301b|Mirn301b|mir-301b|-|16 A3|16|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_028200	chr8	123242356	123254222	-	2809.0	1	Vps9d1|1300018I17Rik|2410004N05Rik|5DOS1|Vsp9d1|-|8|8 E1|protein-coding	567.45	599.90	539.10	580.63	-0.0515982932503415	0.521451399688536	1
NM_010708	chr11	78962979	78984924	-	1573.0	1	Lgals9|AA407335|AI194909|AI265545|LGALS35|Lgals5|gal-9|galectin-9|-|11|11 B5|protein-coding	1891.51	1842.89	2498.48	2368.73	0.39403878811711	4.4157902183881e-15	7.27182849587845e-13
NM_001214911	chr15	101050192	101054399	-	4206.0	1	Fignl2|EG668225|-|15|15 F1|protein-coding	208.90	203.72	224.46	197.39	0.045861045785058	0.721526970779932	1
NM_010345	chr11	11930499	12037420	-	5070.0	1	Grb10|5730571D09Rik|AI325020|Meg1|mKIAA0207|-|11 A1|11 7.15 cM|protein-coding	0.00	0.00	1.96	4.20	4.66893165086178	0.0327948052446526	0.48891835177006
NM_145635	chr2	158502612	158508198	+	627.0	1	Adig|SMAF-1|Smaf1|-|2|2 H1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_015739	chr5	24504426	24526848	-	1448.0	1	Gbx1|Gbx-1|-|5 A3|5 11.93 cM|protein-coding	5.20	10.33	13.72	12.60	0.743070490491023	0.18511902578313	1
NR_037683	chr11	78183059	78183113	-	54.0	1	Snord42b|MBII-287|U42B|-|11 B5|11 46.74 cM|snoRNA	6.24	2.82	0.98	2.10	-1.46235503964711	0.153382165325566	0.96228314240132
NM_025830	chr8	107436398	107558595	+	4255.0	1	Wwp2|1300010O06Rik|AA690238|AIP2|AW554328|-|8|8 D3|protein-coding	1913.33	1917.99	1920.17	1910.94	0.0108672840551491	0.834230159687173	1
NM_001033440	chr14	77793945	77798968	-	1349.0	1	Gm1587|-|-|14|14 D3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001113419	chr3	67892220	68626482	+	2384.0	1	Gm21949|Iqcj-schip1|Schip-1-iqcj|Schip1|-|3 E1|3|protein-coding	676.58	681.58	685.15	671.98	0.00996032043389438	0.899342671837849	1
NR_028310	chr10	124469074	124524488	+	1329.0	1	4930503E24Rik|-|-|10|10 D2|pseudo	179.80	208.42	198.00	165.90	-0.0830235361341088	0.519297489438405	1
NM_199308	chr8	70778117	70792433	-	5306.0	1	Mast3|BC024265|mKIAA0561|-|8|8 B3.3|protein-coding	1791.74	1705.82	1720.22	1835.35	0.0347472264139052	0.518587903039214	1
NM_146561	chr9	20300211	20301170	+	958.0	1	Olfr873|MOR145-2|-|9|9 A3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_045088	chr13	44193589	44216487	-	1933.0	1	A330076C08Rik|-|-|13|13 A4|ncRNA	2.08	0.94	1.96	0.00	-0.486043165418107	0.999999999999999	1
NM_009275	chr9	103188033	103202065	-	2982.0	1	Srprb|AA409543|-|9|9 F1|protein-coding	4962.61	5144.69	5231.22	5142.75	0.0482938049053467	0.259222718741256	1
NM_030691	chr7	121064067	121074530	-	2125.0	1	Igsf6|-|-|7|7 F2|protein-coding	3.12	5.63	9.80	5.25	0.770416629783735	0.323755174249679	1
NM_001038500	chr17	40727120	40731782	+	1044.0	1	Esp1|EG619517|Gm6084|-|17|17 B2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_009424	chr2	101678420	101701668	+	6178.0	1	Traf6|2310003F17Rik|AI851288|C630032O20Rik|-|2|2 E2|protein-coding	1612.98	1399.77	1411.46	1499.36	-0.0372771000720475	0.537400756445251	1
NM_198408	chr13	95431376	95444831	-	1672.0	1	Crhbp|CRH-BP|-|13 D1|13 49.5 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_024199	chr2	172371003	172381086	+	1812.0	1	Cstf1|1700057K18Rik|AI788832|-|2 H3|2 94.84 cM|protein-coding	1412.40	1497.41	1462.43	1499.36	0.0351529106652704	0.523078718032519	1
NR_040403	chr3	89391864	89398779	+	1462.0	1	Gm15417|ENSMUSG00000074466|OTTMUSG00000021274|-|3 F1|3|ncRNA	134.07	119.23	116.64	106.05	-0.16939465314927	0.269054255655317	1
NR_045960	chr12	14996389	15050389	-	798.0	1	4930448C13Rik|-|-|12|12 A1.1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_020022	chr5	134582690	134598328	+	1505.0	1	Rfc2|2610008M13Rik|40kDa|AI326953|Recc2|-|5 G2|5 74.68 cM|protein-coding	3228.04	3267.07	3345.36	3397.70	0.0647122975621983	0.147884574832267	0.950155489044076
NM_146506	chr9	39257720	39258679	-	958.0	1	Olfr945|MOR171-20|-|9|9 A5.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_172832	chr18	61696837	61707635	-	2009.0	1	Pcyox1l|BC060677|C630049M13|-|18|18 E1|protein-coding	596.55	577.37	581.25	636.28	0.062881673519372	0.410945856736185	1
NM_001159910	chr12	108206345	108275417	-	1539.0	1	Ccdc85c|EG668158|Gm265|Gm9010|-|12|12 F1|protein-coding	474.96	466.59	437.16	455.69	-0.0659486336691264	0.434873272737248	1
NR_046053	chr6	118880158	118885543	+	2162.0	1	4931430N09Rik|-|-|6|6 F1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_001079929	chr17	25162461	25171913	+	2388.0	1	Ccdc154|Ccdc157|Gm317|-|17|17 A3.3|protein-coding	2.08	0.94	0.00	0.00	-3.67794915195639	0.252551236657478	1
NM_001081088	chr2	69424335	69586067	-	15386.0	1	Lrp2|AI315343|AW536255|D230004K18Rik|Gp330|Megalin|b2b1625.2Clo|-|2 C2|2 40.74 cM|protein-coding	134.07	157.72	121.54	127.05	-0.225484313142415	0.119351339612365	0.876096612493857
NM_001270512	chrY	3771673	3783271	+	1569.0	1	Gm3376|Rbmy1b|-|Y A1|Y|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_011292	chr5	65388364	65391431	-	715.0	1	Rpl9|-|-|5|5 C3.1|protein-coding	45.73	41.31	34.31	37.80	-0.258691153172854	0.297670738874573	1
NM_199322	chr10	80755206	80794347	+	5664.0	1	Dot1l|A630076O07|AW907654|Dot1|KMT4|mDot1|-|10|10 C1|protein-coding	2823.75	2683.12	2703.34	2768.77	0.00225363199593901	0.969725474417595	1
NM_001163518	chr15	75979872	75982285	-	2411.0	1	Ccdc166|2410075B13Rik|-|15|15 D3|protein-coding	3.12	2.82	0.00	2.10	-1.42687446658322	0.295025637436278	1
NM_001310083	chr2	174327768	174346742	+	3886.0	1	Gnas|5530400H20Rik|A930027G11Rik|C130027O20Rik|GPSA|GSP|Galphas|Gnas1|Gnasxl|Gs-alpha|Gsa|Nesp|Nesp55|Nespl|Oed-Sml|Oedsml|P1|P2|P3|PHP1A|PHP1B|POH|SCG6|-|2 H4|2 97.89 cM|protein-coding	33079.58	34050.71	34556.26	35898.45	0.0805647309947	0.0456692339704711	0.575544937818926
NM_001001334	chr2	18699022	18749605	+	1638.0	1	Spag6|Spag6l|-|2|2 A3|protein-coding	3.12	5.63	0.98	3.15	-1.07215066351971	0.276000278981529	1
NM_001039181	chr15	11839897	11905674	-	6913.0	1	Npr3|ANP-C|ANPR-C|EF-2|NPR-C|lgj|stri|-|15 A1|15 5.83 cM|protein-coding	576.81	552.96	505.77	482.99	-0.179614764675296	0.0219046831546753	0.391184497431908
NM_009483	chrX	18162575	18279936	+	5904.0	1	Kdm6a|Utx|-|X A1.2-A1.3|X 13.45 cM|protein-coding	1130.75	1073.06	1074.28	1036.32	-0.0499033589131234	0.409294919192037	1
NM_027839	chr7	19965412	19991111	+	2881.0	1	Ceacam20|9130012D09Rik|-|7|7 A3|protein-coding	2.08	0.94	0.00	0.00	-3.67794915195639	0.252551236657478	1
NM_134099	chr15	3963564	3979573	-	3437.0	1	Fbxo4|1700096C12Rik|AI851261|AW494535|Fbx4|-|15|15 A1|protein-coding	277.49	275.07	280.33	290.84	0.0582411643358747	0.574458393382602	1
NM_026346	chr15	58175879	58214892	-	6925.0	1	Fbxo32|4833442G10Rik|AI430017|ATROGIN1|Gm20361|MAFbx|-|15|15 D1|protein-coding	274.37	252.54	314.64	289.79	0.212481773207839	0.042297826167315	0.556788558366521
NM_028175	chr8	4226827	4237470	+	3873.0	1	Lrrc8e|1810049O03Rik|C87354|-|8|8 A1.1|protein-coding	1.04	2.82	1.96	0.00	-0.871215253212001	0.690640631127357	1
NM_024209	chr2	39196798	39226338	-	1549.0	1	Ppp6c|2310003C10Rik|-|2|2 B|protein-coding	1641.04	1675.78	1525.16	1589.65	-0.0805659095720912	0.13422429986101	0.908577962170242
NM_199157	chr4	35152055	35154019	+	816.0	1	Ifnk|-|-|4|4 A5|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_011588	chr7	13024152	13031032	+	3223.0	1	Trim28|AA408787|KAP-1|KRIP-1|MommeD9|Tif1b|Tif1beta|-|7|7 A1|protein-coding	12979.70	13877.52	12508.08	13496.30	-0.0360454396141905	0.423385122152507	1
NM_001011877	chr14	51049451	51050163	-	710.0	1	Rnase11|Raj1|-|14|14 C1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_028416	chr17	23741199	23745829	-	2105.0	1	Kremen2|2900054E04Rik|Krm2|-|17|17 A3.3|protein-coding	1.04	0.94	0.00	0.00	-3.14779584597486	0.501700824438317	1
NM_001347154	chr4	60817586	60821590	-	982.0	1	Gm21320|-|-|4 B3|4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_023579	chr14	120911194	120948044	+	4565.0	1	Ipo5|1110011C18Rik|5730478E03Rik|AA409333|C76941|IMB3|Kpnb3|Ranbp5|-|14|14 E4-E5|protein-coding	10020.84	9938.26	9471.48	9816.16	-0.0385057004886326	0.344422912119674	1
NM_013879	chr5	115168691	115186121	-	1172.0	1	Cabp1|caldendrin|-|5|5 F|protein-coding	36.38	46.94	45.09	42.00	0.0680735153925027	0.831041816369419	1
NM_009443	chr6	72608421	72617000	-	5018.0	1	Tgoln1|AU015504|D6Ertd384e|TGN38|TGN38A|Ttgn1|-|6 C1|6 32.27 cM|protein-coding	7172.14	7039.21	6808.33	6745.00	-0.0572616010016356	0.161420692437763	0.984216607516783
NM_001315499	chr1	171155518	171161130	+	1890.0	1	Mpz|Mpp|P-zero|P0|-|1 H3|1 79.05 cM|protein-coding	5.20	3.76	8.82	9.45	1.02940670421502	0.133337683055975	0.904285994788408
NM_011866	chr17	8801745	8986648	+	7693.0	1	Pde10a|-|-|17|17 A1|protein-coding	402.21	380.22	366.59	436.79	0.0476183160309379	0.609488086699772	1
NM_146558	chr9	20026959	20028035	-	1074.0	1	Olfr866|MOR145-5|-|9|9 A3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_025751	chr13	105082122	105121782	+	2147.0	1	4933425L06Rik|-|-|13|13 D1|protein-coding	0.00	0.00	1.96	1.05	3.72362225072016	0.252551236657478	1
NR_040754	chr9	42182238	42209231	-	3532.0	1	4930546K05Rik|-|-|9|9 A5.1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_028513	chr4	154666428	154667867	-	1437.0	1	Actrt2|1700052K15Rik|Arp-T2|Arpm2|-|4|4 E2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_146544	chr10	129268386	129269321	-	934.0	1	Olfr777|MOR114-9|-|10|10 D3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001291000	chr2	124610296	124667789	+	6488.0	1	Sema6d|1110067B02Rik|AA409156|D330011G23|mKIAA1479|-|2|2 F1|protein-coding	1741.85	1679.53	1614.36	1636.90	-0.0621925992496561	0.237235238624255	1
NM_133709	chr7	100006404	100034726	+	1507.0	1	Chrdl2|1810022C01Rik|Chl2|-|7|7 E2|protein-coding	0.00	0.00	0.98	0.00	2.34197687830997	0.999999999999998	1
NM_001081336	chr14	78569609	78725089	-	3937.0	1	Dgkh|5930402B05Rik|D130015C16|DGK|-|14|14 D3|protein-coding	117.44	115.47	112.72	120.75	0.0134262203089338	0.96670961494967	1
NM_001168304	chr10	40349308	40483818	+	5792.0	1	Cdk19|2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028|-|10|10 B1|protein-coding	914.58	802.68	833.15	895.62	0.0221100747275307	0.76667976826781	1
NM_009884	chr7	35046422	35056566	-	4698.0	1	Cebpg|C/EBP[g]|C/EBPgamma|GPE1-BP|Gpe1bp|Ig/EBP|-|7|7 B2|protein-coding	1363.55	1261.76	1428.12	1288.31	0.0625439469304825	0.313260012813284	1
NM_016904	chr3	89415472	89418291	-	752.0	1	Cks1b|2410005G18Rik|2610005D03Rik|AA407784|Cks1|sid1334|-|3|3 F1|protein-coding	2259.42	2199.64	2086.80	1968.69	-0.124928397926421	0.0129076396887488	0.287758843310728
NM_008752	chr2	23321246	23401973	+	2575.0	1	Nxph2|-|-|2|2 A3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_198624	chr7	104148259	104150556	-	2295.0	1	Ubqlnl|4922504M18Rik|Gm490|-|7|7 E3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_008723	chr19	45747734	45749563	-	852.0	1	Npm3|Nub1|-|19 C3|19 38.75 cM|protein-coding	621.50	629.94	627.32	565.93	-0.0564737099414555	0.456916775225357	1
NM_139152	chr1	89952678	90014577	-	1397.0	1	Asb18|Asb-18|-|1|1 D|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_177293	chrX	56797953	56822325	-	2777.0	1	Mtap7d3|4933424A10Rik|Map7d3|-|X|X A6|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001038613	chr2	28193093	28230736	+	2678.0	1	Olfm1|AMY|AW742568|Noe1|OlfA|Pancortin|Pancortin3|-|2|2 A3|protein-coding	266.06	257.23	224.46	254.09	-0.119348466997293	0.282745255757487	1
NM_178757	chr7	19004065	19006763	+	2696.0	1	Irf2bp1|6330414O09Rik|C530033F24|-|7|7 A3|protein-coding	1672.22	1773.42	1717.28	1621.15	-0.034960917848229	0.524407822996829	1
NM_024200	chr3	32529482	32579225	+	4511.0	1	Mfn1|2310002F04Rik|6330416C07Rik|D3Ertd265e|HR2|mKIAA4032|-|3 A3|3 15.75 cM|protein-coding	2139.90	2115.14	1957.42	2058.99	-0.0726867587187045	0.149577472968535	0.95329414395557
NM_024237	chr2	128863932	128897034	+	2899.0	1	Fbln7|1600015H20Rik|AI464334|TM14|-|2|2 F1|protein-coding	11.43	12.20	12.74	13.65	0.164499993466599	0.891743666834716	1
NM_020020	chrX	154985775	154995850	-	1640.0	1	Magea8|Mage-a8|-|X F3|X 72.38 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_029945	chr16	17619354	17644830	+	4603.0	1	Smpd4|4122402O22Rik|mKIAA1418|-|16|16 A3|protein-coding	3104.36	3188.21	3029.74	3285.35	0.015171913251098	0.74704704826577	1
NM_007588	chr6	3685720	3764713	-	3813.0	1	Calcr|Clr|-|6 A1|6 1.81 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001310643	chr1	66700831	66719805	+	2715.0	1	Rpe|2810429B02Rik|5730518J08Rik|-|1|1 C3|protein-coding	1892.55	1839.13	1853.52	1691.50	-0.0617106086233818	0.248479208251172	1
NM_198661	chr4	144190717	144196934	+	1922.0	1	Oog2|C85069|-|4|4 E1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_045822	chr8	79295078	79307774	+	2639.0	1	Gm4890|A630049P17|-|8 C1|8|ncRNA	60.28	40.37	51.95	42.00	-0.07239549345416	0.748306905425107	1
NM_025722	chr8	85408759	85432841	-	1589.0	1	4921524J17Rik|-|-|8|8 C3|protein-coding	557.06	615.86	519.50	502.94	-0.188844990154269	0.017657570553429	0.343971171570553
NM_001293623	chrX	71555917	71560673	+	1791.0	1	Hmgb3|Hmg2a|Hmg4|-|X|X A7.3|protein-coding	208.90	249.72	213.68	191.09	-0.171648983983583	0.157304720809772	0.973309783829271
NM_175034	chr2	125068127	125088677	+	1940.0	1	Slc24a5|F630045L20Rik|JSX|NCKX5|NCX5|Oca6|-|2|2 F1|protein-coding	18738.41	18805.35	19396.79	19620.77	0.0664680668430154	0.0911048211050915	0.774043973495717
NR_037991	chr13	53393689	53455630	+	2331.0	1	Gm2762|1700025I17Rik|-|13 B1|13|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_001327939	chr3	126921607	127409058	-	14259.0	1	Ank2|100043364|AI835472|AW491075|Ank-2|Gm4392|-|3 G2|3 56.07 cM|protein-coding	1711.71	1610.06	1757.46	1744.00	0.0880440113279006	0.0987412831562535	0.806529582158786
NM_001200028	chr3	105996957	106014646	-	948.0	1	Pifo|1700027A23Rik|-|3|3 F2.2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001170746	chr5	19227046	20704791	+	6711.0	1	Magi2|AIP-1|Acvri1|Acvrinp1|Acvrip1|Magi-2|S-SCAM|mKIAA0705|-|5|5 A3|protein-coding	301.39	280.70	277.39	292.94	-0.0176449093622137	0.880918184613498	1
NR_045922	chr11	72266844	72268556	+	1356.0	1	1700051A21Rik|-|-|11|11 B4|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_025696	chr19	48206025	48805505	+	5605.0	1	Sorcs3|6330404A12Rik|AW045579|-|19|19 D1|protein-coding	7.28	1.88	6.86	1.05	-0.121770938879861	1	1
NM_178697	chr3	145070263	145099106	-	3972.0	1	Clca2|4732440A06|AI586120|Clca5|-|3|3 H2|protein-coding	1.04	0.00	3.92	4.20	2.76670557461647	0.0414897170177444	0.553328220563328
NM_053152	chr6	129972082	130380808	-	1225.0	1	Klra22|Ly49v|-|-|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_029094	chr9	99038402	99140211	-	4828.0	1	Pik3cb|1110001J02Rik|AI447572|p110beta|-|9|9 E3.3|protein-coding	884.44	853.38	787.08	817.93	-0.103565487792862	0.115573425878168	0.866060032995797
NM_001253745	chr8	3681737	3690861	-	2025.0	1	Fcer2a|CD23|Fce2|Fcer2|Ly-42|-|8 A1.1|8 1.92 cM|protein-coding	0.00	0.00	0.98	0.00	2.34197687830997	0.999999999999998	1
NM_001290520	chr11	9016054	9048991	-	1091.0	1	Sun3|Sunc1|-|11|11 A1|protein-coding	4.16	0.94	2.94	1.05	-0.259256215836567	1	1
NM_194263	chr9	24720812	24774303	-	6426.0	1	Tbx20|9430010M06Rik|AL022859|Tbx12|-|9|9 A4|protein-coding	0.00	0.00	0.00	1.05	2.3426325900233	0.999999999999998	1
NM_008611	chr9	7558429	7568486	+	2441.0	1	Mmp8|BB138268|-|9|9 A1|protein-coding	1.04	0.00	0.00	0.00	-2.30249020305659	0.999999999999998	1
NM_019428	chr19	36083716	36104773	+	1143.0	1	Rpp30|Rnasep2|TSG15|-|19|19 C2|protein-coding	643.32	629.00	614.57	569.08	-0.0915490245839787	0.218411482189839	1
NM_028910	chr7	106814144	106820709	+	3056.0	1	Olfr701|4932441H21Rik|4933433E02Rik|MOR283-1|-|7|7 E3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001195031	chr3	9687482	9833679	-	8242.0	1	Pag1|Cbp|F730007C19Rik|Pag|-|3|3 A1|protein-coding	140.30	130.49	107.82	136.50	-0.139970259305557	0.374541309157331	1
NM_019412	chr7	27499324	27520041	+	5252.0	1	Prx|L-Periaxin|-|7 A3|7 15.91 cM|protein-coding	126.79	138.01	114.68	128.10	-0.118912398290018	0.428256413019958	1
NM_011527	chr4	115056426	115071755	+	4206.0	1	Tal1|Hpt|SCL/tal-1|Scl|bHLHa17|tal-1|-|4 D1|4 52.73 cM|protein-coding	96.65	92.00	100.96	80.85	-0.0365011837267706	0.852333646503816	1
NM_008137	chr19	16435667	16610818	+	3374.0	1	Gna14|AU023208|-|19 A|19 11.29 cM|protein-coding	9.35	16.90	2.94	5.25	-1.67071044629643	0.00468670035762709	0.149387034224719
NM_008486	chr7	79821803	79842352	-	3401.0	1	Anpep|AP-M|AP-N|Apn|Cd13|P150|-|7|7 D2|protein-coding	210.98	151.15	180.35	198.44	0.0822410097153187	0.555067606243193	1
NM_001166709	chr13	22725684	22726622	-	937.0	1	Vmn1r207-ps|Gm11312|OTTMUSG00000000511|Vmn1r207|-|13|13 A3.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_040686	chr5	148950250	148951658	+	636.0	1	8430423G03Rik|-|-|5|5 G3|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_001347246	chr4	143789334	143795585	+	1404.0	1	Gm13023|BC084594|MGC:91194|OTTMUSG00000010009|-|4 E1|4|protein-coding	0.00	0.00	1.96	0.00	3.19190649238111	0.501700824438317	1
NM_025613	chr2	125673100	125675642	+	2540.0	1	Eid1|2610002K20Rik|Cri1|EID-1|ORF12|PNAS-22|PTD014|-|2|2 F1|protein-coding	1885.27	1889.83	1789.81	1763.95	-0.0761033807577532	0.13594272261254	0.9123705100503
NM_178258	chr10	19622028	19634681	+	2461.0	1	Il22ra2|CRF2-10|CRF2-s1|CRF2X|Il-22bp|-|10|10 A3|protein-coding	1.04	0.00	0.98	0.00	0.0394866752533837	1	1
NM_001135688	chr15	75564745	75566856	-	979.0	1	Ly6h|-|-|15|15 D3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_213728	chr15	101776560	101786458	-	1553.0	1	Krt72|AI507495|K6irs2|Krt2-35|Krt72-ps|-|15|15 F2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_027945	chr10	99757705	99759658	-	1951.0	1	Csl|1700007H16Rik|-|10|10 D1|protein-coding	433.38	429.04	388.15	428.39	-0.0693316559375639	0.440920409731263	1
NM_001079901	chr6	48593883	48599082	+	3141.0	1	Repin1|AI425994|Ap4|E430037F08Rik|Zfp-464|Zfp464|-|6|6 B2.3|protein-coding	1710.67	1703.94	1733.94	1725.10	0.0297043144176517	0.570685733484059	1
NM_013611	chr10	61417972	61425338	+	2090.0	1	Nodal|Tg.413d|-|10 B4|10 32.21 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001114400	chrX	149784479	149984982	+	2011.0	2	Gm15127|ENSMUSG00000072928|OTTMUSG00000019138|-|X|X F2|protein-coding	1.04	5.63	0.98	1.05	-1.63898563146904	0.186928191157949	1
NM_024228	chr7	126766414	126775645	+	1056.0	1	Gdpd3|1110015E22Rik|-|7|7 F3|protein-coding	16.63	20.65	10.78	21.00	-0.239334061027759	0.648068828650238	1
NM_026402	chr16	45158829	45188538	+	1999.0	1	Atg3|2610016C12Rik|APG3|Apg3l|Atg3l|PC3-96|-|16|16 B5|protein-coding	3518.00	3511.16	3730.57	3409.25	0.0341271335150553	0.476651785433543	1
NM_001285478	chr4	138216612	138244682	+	4882.0	1	Hp1bp3|Hp1bp74|-|4|4 D3|protein-coding	4765.15	4717.53	4530.39	4526.42	-0.055240510470173	0.193837152051813	1
NM_001302334	chr11	59202486	59206135	+	1022.0	1	Mrpl55|2810038N09Rik|L55mt|MRP-L55|-|11|11 B1.3|protein-coding	910.42	942.57	997.82	968.07	0.0959373350740877	0.126637661892882	0.891288078320421
NM_021888	chr9	21411837	21420279	+	1309.0	1	Qtrt1|2610028E17Rik|Tgt|-|9|9 A3|protein-coding	654.75	657.17	630.26	675.13	0.00255913587393882	0.977431393209514	1
NM_029928	chr10	116301374	116389538	+	11878.0	1	Ptprb|3230402H02Rik|C130094E24|Ptpz|Rptpb|VE-PTP|Veptp|-|10|10 D2|protein-coding	29.10	28.16	21.56	15.75	-0.595544843514384	0.0770656351566075	0.720365519938163
NR_015596	chr3	96829826	96832070	-	2049.0	1	4930442L01Rik|-|-|3|3 F2.1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_027024	chr2	148820099	148830410	+	759.0	1	Cst13|1700006C19Rik|Cymg1|Mtcg1|-|2|2 G3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_009406	chr7	4518308	4522443	-	814.0	1	Tnni3|Tn1|cTnI|-|7 A1|7 2.61 cM|protein-coding	1.04	0.94	0.00	1.05	-0.805163255951552	1	1
NM_025648	chr8	84856986	84869257	+	1814.0	1	Farsa|0610012A19Rik|Farsla|-|8|8 C2-C3|protein-coding	2350.88	2470.01	2473.00	2394.98	0.0245761248719997	0.616860841992232	1
NR_105854	chr5	147283189	147283298	-	109.0	1	Mir7k|Gm27814|Mirlet7k|mmu-let-7k|-|5|5 G3|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_021445	chr13	61195147	61203392	-	1313.0	1	Cts6|1600022N02Rik|-|13 B2|13 32.67 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_019741	chr4	150119344	150144168	+	3080.0	1	Slc2a5|AI526984|Glut5|Slc5a|-|4|4 E2|protein-coding	919.77	941.63	1022.33	1062.57	0.173458836250781	0.00499618641948403	0.157003692022408
NM_009780	chr17	34728381	34743897	-	5350.0	1	C4b|C4|Ss|-|17 B1|17 18.29 cM|protein-coding	12.47	13.14	83.32	66.15	2.54650075359119	7.51899919764644e-20	1.46423558184643e-17
